Question,BSA variable name
Do you think the law should allow an abortion in case the woman decides on her own she does not wish to have a child.,abort1
Do you think the law should allow an abortion in case the couple agree they do not wish to have the child.,abort2
Do you think the law should allow an abortion in case  the woman is not married and does not wish to marry the man.,abort3
Do you think the law should allow an abortion in case  the couple cannot afford any more children.,abort4
Do you think the law should allow an abortion in case there is a strong chance of a defect in the baby.,abort5
Do you think the law should allow an abortion in case  the woman’s health is seriously endangered by the pregnancy.,abort6
Do you think the law should allow an abortion in case  the woman became pregnant as a result of rape.,abort7
Do you personally think it is wrong for a woman to have an abortion if there is a strong chance of serious defect in the baby?,aborwrga
Do you personally think it is wrong for a woman to have an abortion if the family has a very low income and cannot afford any more children?,aborwrgb
Official warnings about AIDS should say that some sexual practices are morally wrong,aidswrng
Do you think schools should or have the legal right to expel children who have AIDS?,aidsxpel
An unemployed person on benefit takes a casual job and is paid in cash. He does not report it to the benefit office and is £500 in pocket. Do you feel this is wrong?,ben500
Both the man and woman should contribute to the household income.,bothearn
"Buses should be given more prionty in towns and cities, even if this makes things more difficult for car dnvers.",busprior
People who sell cannabis should always be prosecuted,canselpr
People should not be prosecuted for possessing small amounts of cannabis for their own use?,canusepr
Are you in favour of the death penalty for murder in the course of a terrorist act?,cappun1
Are you in favour of the death penalty for murder of a police officer?,cappun2
Are you in favour of the death penalty for murder?,cappun3
"People should be allowed to use their cars as much as they like, even if it causes damage to the environment.",carallow
People who drive cars that are better for the environment should pay less to use the roads than people whose cars are more harmful to the environment.,carenvdc
For the sake of the environment everyone should reduce how much they use their cars.,carreduc
Censorship of films and magazines is necessary to uphold moral standards.,censor
It is acceptible to use animals for testing and improving cosmetics.,cosmtest
"Suppose the police get an anonymous tip that a man with a long criminal record is planning to break into a warehouse. Do you think the police should be allowed, without a Court Order to keep the man under surveillance?",crimin1
"Suppose the police get an anonymous tip that a man with a long criminal record is planning to break into a warehouse. Do you think the police should be allowed, without a Court Order to tap his telephone?",crimin2
"Suppose the police get an anonymous tip that a man with a long criminal record is planning to break into a warehouse. Do you think the police should be allowed, without a Court Order to open his mail?",crimin3
"Suppose the police get an anonymous tip that a man with a long criminal record is planning to break into a warehouse. Do you think the police should be allowed, without a Court Order to detain the man overnight for questioning?",crimin4
"The countryside should be protected from development, even if this sometimes leads to fewer new jobs.",ctryjobs
Cyclists and pedestrians should be given more priority in towns and cities even if this makes things more difficult for other road users.,cycpedpr
If someone has drunk any alcohol they should not drive.,ddnodrv
"For some crimes, the death penalty is the most appropriate sentence.",deathapp
Older people should be encouraged to retire earlier to reduce unemployment.,earlyret
Ethnic minorities should be given government assistance to preserve their customs and traditions.,ethncaid
Some people say that it is better for a country if different racial and ethnic groups maintain their distinct customs and traditions. Others say that it is better if these groups adapt and blend into the larger society. Are you in favour of the groups maintaining their traditions?,ethncvw
"How about a person who is not in much pain nor in danger of death, but becomes permanently and completely dependent on relatives for all their needs - for example someone who cannot feed, wash or go to the toilet by themselves. Do you think that, if they ask for it, a doctor should ever be allowed by law to end their life?",eudepsh
"A person with an incurable and painful illness, from which they will die - for example someone dying of cancer. Do you think that, if they ask a close relative to end their life, should the law ever allow the close relative to do so?",eurelsh
"Suppose a person has a painful incurable disease. Do you think that doctors should be allowed by law to end the patient’s life, if the patient requests it?",exit1
"What about a married person having sexual relations with someone other than his or her partner, is it always wrong?",exms
In times of high unemployment married women should stay at home.,femhome
Do you think female homosexual couples - that is lesbians - should be allowed to adopt a baby under the same conditions as other couples?,fgayadpt
"For certain problems, like environment pollution, international bodies should have the right to enforce solutions.",forgrel2
"Britain should follow its own interests, even if this leads to conflicts with other nations.",forgrel4
Foreigners should not be allowed to buy land in Britain.,forgrel5
Britain’s television should give preference to British films and programmes.,forgrel6
Fox hunting should be banned by law.,foxhunt
"Now I would like you to tell me whether, in your opinion, it is acceptable for a homosexual person to hold a responsible position in public life?",gaypub
