id,age,sex,edu,polviews_10,issue,type,opinion,mf,value
147,20,Male,2,5,abany,against,0,Harm,1
99,24,Female,7,0,abany,against,0,Harm,1
90,25,Male,7,5,abany,against,0,Harm,1
10,29,Female,8,5,abany,against,0,Harm,1
160,31,Female,8,2,abany,against,0,Harm,1
202,34,Male,8,1,abany,against,0,Harm,1
221,51,Female,7,7,abany,against,0,Harm,1
27,25,Male,3,5,abany,against,0,Harm,1
101,25,Male,2,7,absingle,against,0,Harm,1
71,24,Male,2,5,absingle,against,0,Harm,1
174,23,Female,3,5,absingle,against,0,Harm,1
67,25,Female,3,5,absingle,against,0,Harm,1
82,26,Female,4,4,absingle,against,0,Harm,1
79,25,Male,7,6,absingle,against,0,Harm,1
81,30,Male,7,3,absingle,against,0,Harm,1
20,20,Male,3,2,absingle,against,0,Harm,1
116,18,Male,3,5,abpoor,against,0,Harm,1
160,31,Female,8,2,abpoor,against,0,Harm,1
47,35,Male,7,8,abpoor,against,0,Harm,1
202,34,Male,8,1,abpoor,against,0,Harm,1
196,37,Male,7,8,abpoor,against,0,Harm,1
27,25,Male,3,5,abpoor,against,0,Harm,1
182,26,Male,7,2,abdefect,against,0,Harm,1
77,18,Male,3,5,abdefect,against,0,Harm,1
99,24,Female,7,0,abdefect,against,0,Harm,1
67,25,Female,3,5,abdefect,against,0,Harm,1
111,27,Male,7,0,abdefect,against,0,Harm,1
8,27,Female,7,4,abdefect,against,0,Harm,1
140,53,Female,8,4,abdefect,against,0,Harm,1
202,34,Male,8,1,abdefect,against,0,Harm,1
29,22,Male,3,4,abdefect,against,0,Harm,1
135,26,Female,7,2,abdefect,against,0,Harm,1
46,29,Male,6,8,abdefect,against,0,Harm,1
94,31,Female,8,5,abhlth,against,0,Harm,1
133,23,Female,3,4,abhlth,against,0,Harm,1
181,20,Female,3,6,abhlth,against,0,Harm,1
114,37,Female,8,3,abhlth,against,0,Harm,1
199,29,Male,2,7,abrape,against,0,Harm,1
10,29,Female,8,5,abrape,against,0,Harm,1
160,31,Female,8,2,abrape,against,0,Harm,1
94,31,Female,8,5,abrape,against,0,Harm,1
149,24,Male,3,7,abrape,against,0,Harm,1
80,18,Male,3,5,abrape,against,0,Harm,1
44,26,Female,7,5,abrape,against,0,Harm,1
165,21,Male,3,6,cappun,against,0,Harm,1
79,25,Male,7,6,cappun,against,0,Harm,1
168,20,Female,7,5,cappun,against,0,Harm,1
148,24,Male,4,6,cappun,against,0,Harm,1
44,26,Female,7,5,cappun,against,0,Harm,1
118,25,Female,7,0,suicide1,against,0,Harm,1
67,25,Female,3,5,suicide1,against,0,Harm,1
190,19,Male,4,3,suicide1,against,0,Harm,1
82,26,Female,4,4,suicide1,against,0,Harm,1
53,37,Female,2,8,suicide1,against,0,Harm,1
3,57,Female,10,7,suicide1,against,0,Harm,1
68,20,Male,4,8,suicide1,against,0,Harm,1
178,18,Male,3,2,suicide1,against,0,Harm,1
99,24,Female,7,0,xmarsex,against,0,Harm,1
150,20,Female,3,3,xmarsex,against,0,Harm,1
8,27,Female,7,4,xmarsex,against,0,Harm,1
95,22,Female,2,1,xmarsex,against,0,Harm,1
79,25,Male,7,6,xmarsex,against,0,Harm,1
197,21,Female,7,4,xmarsex,against,0,Harm,1
165,21,Male,3,6,colhomo,against,0,Harm,1
2,20,Female,3,3,colhomo,against,0,Harm,1
91,31,Female,8,8,colhomo,against,0,Harm,1
110,28,Female,3,6,colhomo,against,0,Harm,1
69,19,Male,3,8,colhomo,against,0,Harm,1
202,34,Male,8,1,colhomo,against,0,Harm,1
105,26,Male,7,8,colhomo,against,0,Harm,1
194,51,Female,4,4,colhomo,against,0,Harm,1
